world_size,init_life,rand,sync,deterministic_period,p,second_threshold,living
64,50,true,true,2,0.00,9, 4.7852
64,50,true,true,2,0.00,9, 5.8594
64,50,true,true,2,0.00,9, 8.8135
64,50,true,true,2,0.00,9, 5.2002
64,50,true,true,2,0.00,9, 4.5654
64,50,true,true,2,0.00,9, 6.6162
64,50,true,true,2,0.00,9, 8.2764
64,50,true,true,2,0.00,9, 9.9609
64,50,true,true,2,0.00,9,10.3271
64,50,true,true,2,0.00,9, 7.7393
64,50,true,true,2,0.00,9, 4.9316
64,50,true,true,2,0.00,9, 5.2734
64,50,true,true,2,0.00,9, 6.2500
64,50,true,true,2,0.00,9, 8.0078
64,50,true,true,2,0.00,9, 8.7891
64,50,true,true,2,0.00,9, 3.5400
64,50,true,true,2,0.00,9, 5.3711
64,50,true,true,2,0.00,9, 7.8125
64,50,true,true,2,0.00,9, 7.1289
64,50,true,true,2,0.00,9, 7.3242
64,50,true,true,2,0.00,9, 5.2979
64,50,true,true,2,0.00,9, 8.0322
64,50,true,true,2,0.00,9, 4.5654
64,50,true,true,2,0.00,9, 4.8096
64,50,true,true,2,0.00,9, 5.2246
64,50,true,true,2,0.00,9, 6.3721
64,50,true,true,2,0.00,9, 6.7871
64,50,true,true,2,0.00,9, 7.7637
64,50,true,true,2,0.00,9, 7.4951
64,50,true,true,2,0.00,9,10.1074
64,50,true,true,2,0.00,9, 8.6914
64,50,true,true,2,0.00,9, 6.7383
64,50,true,true,2,0.00,9, 5.0293
64,50,true,true,2,0.00,9, 3.6377
64,50,true,true,2,0.00,9, 5.7129
64,50,true,true,2,0.00,9, 4.9316
64,50,true,true,2,0.00,9, 6.7871
64,50,true,true,2,0.00,9, 8.2764
64,50,true,true,2,0.00,9, 7.0801
64,50,true,true,2,0.00,9, 4.9316
64,50,true,true,2,0.00,9, 6.1279
64,50,true,true,2,0.00,9, 8.1299
64,50,true,true,2,0.00,9, 9.7168
64,50,true,true,2,0.00,9, 5.7617
64,50,true,true,2,0.00,9, 9.6680
64,50,true,true,2,0.00,9, 4.0527
64,50,true,true,2,0.00,9, 6.5674
